"lon","lat","city","state"
-123.81813812,46.97493744,"Aberdeen","WA"
-122.20777893,48.71663284,"Acme","WA"
-117.83914948,48.35599518,"Addy","WA"
-122.36278534,47.33078766,"Adelaide","WA"
-123.06381226,46.62848663,"Adna","WA"
-118.98166656,48.54705048,"Aeneas","WA"
-120.62440491,46.55934525,"Ahtanum","WA"
-117.25171661,46.79068375,"Albion","WA"
-122.29272461,46.79992294,"Alder","WA"
-119.92337036,45.83462143,"Alderdale","WA"
-122.23151398,47.16937256,"Alderton","WA"
-122.25444031,47.27890015,"Algona","WA"
-122.2789917,47.49373245,"Allentown","WA"
-122.82995605,47.38530731,"Allyn","WA"
-118.94332123,47.71086884,"Almira","WA"
-117.47132874,46.70253754,"Almota","WA"
-119.99724579,47.56084824,"Alstown","WA"
-123.65834045,46.26761627,"Altoona","WA"
-123.8885498,47.46277618,"Amanda Park","WA"
-117.71408081,47.35165787,"Amber","WA"
-122.44863129,45.90972137,"Amboy","WA"
-122.61488342,48.51247025,"Anacortes","WA"
-117.1341095,46.13479233,"Anatone","WA"
-122.6190033,47.54322433,"Annapolis","WA"
-120.37180328,47.73700333,"Ardenvoir","WA"
-122.57372284,45.95639038,"Ariel","WA"
-122.66955566,47.28953934,"Arletta","WA"
-122.12772369,48.19829941,"Arlington","WA"
-122.03387451,46.75808716,"Ashford","WA"
-117.04994202,46.33892822,"Asotin","WA"
-122.23046875,47.30677795,"Auburn","WA"
-118.38716888,46.57976913,"Ayer","WA"
-119.8782959,47.93688965,"Azwell","WA"
-119.36114502,46.19999313,"Badger","WA"
-122.74650574,47.72022629,"Bangor","WA"
-121.48789215,47.7726326,"Baring","WA"
-122.53560638,45.78078842,"Battle Ground","WA"
-121.91152191,47.29476929,"Bayne","WA"
-122.6077652,47.27901077,"Bayview","WA"
-122.1975708,47.58353043,"Beaux Arts Village","WA"
-122.73271179,47.92536163,"Beaver Valley","WA"
-122.82958984,47.45014954,"Belfair","WA"
-122.20296478,47.61014557,"Bellevue","WA"
-122.47274017,48.76121521,"Bellingham","WA"
-117.16370392,47.08757401,"Belmont","WA"
-118.98723602,48.04940414,"Belvedere","WA"
-118.10420227,46.90917587,"Benge","WA"
-119.49026489,46.2628479,"Benton City","WA"
-122.13040924,47.33970642,"Berrydale","WA"
-122.63345337,47.49378204,"Bethel","WA"
-119.93578339,46.83663559,"Beverly","WA"
-122.24365997,48.40264511,"Big Lake","WA"
-122.00537109,47.30848694,"Black Diamond","WA"
-122.75008392,48.99335098,"Blaine","WA"
-122.41850281,48.59286499,"Blanchard","WA"
-120.93927765,45.83924103,"Blockhouse","WA"
-123.00898743,48.02203369,"Blyn","WA"
-122.01773834,47.18015289,"Boise","WA"
-123.13546753,46.53494263,"Boistfort","WA"
-122.18836975,47.17679596,"Bonney Lake","WA"
-122.90382385,47.13815308,"Boston Harbor","WA"
-122.20754242,47.75966263,"Bothell","WA"
-122.40053558,48.56124496,"Bow","WA"
-122.65167999,47.80183411,"Breidablick","WA"
-122.63452911,47.56690598,"Bremerton","WA"
-119.78278351,48.09584427,"Brewster","WA"
-119.67368317,48.00769043,"Bridgeport","WA"
-122.90169525,47.67987442,"Brinnon","WA"
-123.51306915,46.77581406,"Brooklyn","WA"
-122.61860657,47.65503693,"Brownsville","WA"
-122.5484848,45.7325592,"Brush Prairie","WA"
-122.16060638,48.23849106,"Bryant","WA"
-122.23568726,47.50302124,"Bryn Mawr","WA"
-122.02932739,47.16257095,"Buckley","WA"
-122.87284851,46.79846954,"Bucoda","WA"
-120.31565857,46.42865372,"Buena","WA"
-119.01558685,46.19940567,"Burbank","WA"
-122.35001373,47.47027206,"Burien","WA"
-122.6336441,47.41743851,"Burley","WA"
-122.32794952,48.47541428,"Burlington","WA"
-122.46276855,47.38871002,"Burton","WA"
-122.40544891,45.58965683,"Camas","WA"
-117.24203491,48.04719925,"Camden","WA"
-122.05336761,47.07962418,"Carbonado","WA"
-124.10067749,47.15436935,"Carlisle","WA"
-120.11863708,48.24791718,"Carlton","WA"
-121.91648865,47.64742279,"Carnation","WA"
-122.8645401,46.07114792,"Carrolls","WA"
-121.82159424,45.72465515,"Carson","WA"
-120.47274017,47.52220535,"Cashmere","WA"
-122.90997314,46.27463531,"Castle Rock","WA"
-122.10139465,47.84748077,"Cathcart","WA"
-123.3839035,46.20542526,"Cathlamet","WA"
-122.13770294,47.97786331,"Cavalero Corner","WA"
-121.77981567,47.42521667,"Cedar Falls","WA"
-122.06451416,47.43516922,"Cedar Grove","WA"
-122.07553101,47.44791794,"Cedar Mountain","WA"
-122.48166656,47.48178864,"Cedarhurst","WA"
-118.17111206,48.15341187,"Cedonia","WA"
-120.90737152,45.75288773,"Centerville","WA"
-122.65246582,47.66279984,"Central Valley","WA"
-122.96793365,46.71740723,"Centralia","WA"
-117.3598938,47.88951492,"Chattaroy","WA"
-122.97650909,46.66357803,"Chehalis","WA"
-120.01865387,47.84073639,"Chelan","WA"
-119.98865509,47.8014946,"Chelan Falls","WA"
-117.5782547,47.48730087,"Cheney","WA"
-119.05376434,48.94571686,"Chesaw","WA"
-117.71694183,48.27609634,"Chewelah","WA"
-122.71252441,47.61123657,"Chico","WA"
-122.77075958,48.01044464,"Chimacum","WA"
-123.94495392,46.27534103,"Chinook","WA"
-122.23452759,47.33384323,"Christopher","WA"
-122.53463745,46.60388565,"Cinebar","WA"
-124.26109314,48.2530632,"Clallam Bay","WA"
-117.04723358,46.41588593,"Clarkston","WA"
-117.56013489,47.9948082,"Clayton","WA"
-120.94167328,47.19517517,"Cle Elum","WA"
-122.12866211,47.83335114,"Clearview","WA"
-121.07154846,46.94581223,"Cliffdell","WA"
